%%% Global Ocean Heat Content estimate from 1993 to 2022 (Monthly)  v1.1.2
%%%Deep ocean remote sensing (DORS) retrieval algorithm for retrieving ocean internal information from remote sensing data, firstly Published in remote sensing
%%% Su ... Lu*, 2020, OPEN: A New Estimation of Global Ocean Heat Content for Upper 2000 Meters from Remote Sensing Data,remote sensing. 2020, 12, 2294; doi:10.3390/rs12142294

%%% v1.1.2 Update date: Aug. 2023 by Wenfang Lu (extended to 2022)
%%% v1.1.1 Update date: Dec. 2020 by HaoJie Zhang and Wenfang Lu; %%% Note: This version is based on v1.0.1, we increase the number of neurons to improve
%%% unit of OHC:  *10^22 Joules
%%% OHC is 12-month running mean.
%%% Baseline: 1993-2015
%%% Note: [Error] refers to 95% CI is OHC+/-Error 2 /sigma
%%% Link to OPEN data: https://github.com/scenty/OPEN-OHC/
%%%
[year]	[month]	 [OHC0-300m]	[Error]	[OHC0-700m]	[Error]	[OHC0-1500m]	[Error]	[OHC0-2000m]	[Error]
2014	3	4.26 	0.55 	5.68 	2.08 	7.28 	1.68 	7.05 	1.38 
2014	4	4.33 	0.66 	5.91 	1.51 	7.56 	1.50 	7.34 	1.96 
2014	5	4.37 	0.77 	5.97 	1.27 	7.62 	1.95 	7.36 	1.02 
2014	6	4.44 	0.78 	6.08 	1.56 	7.73 	1.58 	7.47 	1.37 
2014	7	4.47 	0.88 	6.09 	1.52 	7.78 	2.04 	7.52 	0.50 
2014	8	4.50 	1.07 	6.08 	1.73 	7.75 	1.69 	7.51 	1.44 
2014	9	4.55 	1.18 	6.08 	2.18 	7.78 	2.36 	7.55 	1.77 
2014	10	4.65 	1.30 	6.21 	2.13 	7.91 	2.51 	7.64 	1.87 
2014	11	4.75 	1.33 	6.34 	1.99 	8.12 	2.84 	7.82 	2.11 
2014	12	4.88 	1.40 	6.64 	1.45 	8.55 	2.36 	8.21 	1.79 
2015	1	4.96 	1.20 	6.81 	1.80 	8.80 	1.59 	8.44 	1.31 
2015	2	5.06 	0.76 	6.95 	2.33 	9.02 	1.95 	8.64 	1.44 
2015	3	5.11 	0.68 	7.02 	1.92 	9.12 	1.48 	8.75 	1.29 
2015	4	5.29 	0.65 	7.19 	1.46 	9.38 	2.07 	9.01 	1.95 
2015	5	5.52 	0.72 	7.56 	1.17 	9.88 	1.38 	9.53 	1.23 
2015	6	5.68 	1.19 	7.84 	1.67 	10.32 	1.06 	10.01 	1.37 
2015	7	5.88 	1.14 	8.13 	2.06 	10.75 	1.94 	10.44 	1.37 
2015	8	5.99 	1.46 	8.36 	3.09 	11.12 	2.87 	10.88 	1.45 
2015	9	6.14 	1.71 	8.75 	3.07 	11.70 	3.13 	11.52 	1.84 
2015	10	6.24 	1.99 	9.02 	3.02 	12.11 	3.76 	12.03 	2.13 
2015	11	6.26 	1.97 	9.19 	2.75 	12.35 	2.77 	12.35 	2.50 
2015	12	6.25 	1.86 	9.14 	2.22 	12.24 	2.84 	12.29 	2.02 
2016	1	6.39 	1.45 	9.32 	2.42 	12.37 	2.90 	12.46 	2.56 
2016	2	6.45 	0.91 	9.39 	2.94 	12.37 	3.00 	12.49 	2.17 
2016	3	6.54 	1.00 	9.57 	2.83 	12.55 	2.87 	12.72 	3.29 
2016	4	6.49 	1.16 	9.50 	2.07 	12.36 	3.81 	12.53 	3.32 
2016	5	6.48 	0.90 	9.49 	1.48 	12.22 	2.34 	12.41 	1.59 
2016	6	6.48 	1.14 	9.59 	2.09 	12.21 	2.19 	12.36 	1.86 
2016	7	6.46 	1.06 	9.59 	1.97 	12.09 	1.94 	12.25 	1.70 
2016	8	6.53 	1.09 	9.73 	2.35 	12.12 	1.59 	12.25 	2.65 
2016	9	6.57 	1.25 	9.73 	2.77 	11.96 	2.85 	12.13 	2.41 
2016	10	6.62 	1.09 	9.79 	2.10 	11.96 	2.54 	12.16 	2.22 
2016	11	6.72 	1.31 	9.92 	1.58 	12.04 	2.70 	12.24 	2.19 
2016	12	6.75 	1.56 	10.03 	1.89 	12.16 	2.49 	12.36 	1.74 
2017	1	6.68 	1.35 	9.91 	1.39 	11.98 	1.84 	12.16 	1.50 
2017	2	6.63 	1.03 	9.97 	2.17 	12.04 	1.91 	12.21 	2.24 
2017	3	6.64 	0.89 	10.03 	1.92 	12.05 	2.46 	12.18 	2.43 
2017	4	6.64 	0.80 	10.08 	1.44 	12.10 	2.38 	12.25 	2.98 
2017	5	6.67 	0.94 	10.18 	0.90 	12.23 	2.60 	12.38 	2.51 
2017	6	6.72 	0.92 	10.15 	0.76 	12.18 	1.03 	12.36 	0.87 
2017	7	6.76 	1.21 	10.22 	1.73 	12.25 	1.25 	12.45 	1.09 
2017	8	6.79 	1.15 	10.22 	2.27 	12.25 	1.96 	12.44 	1.04 
2017	9	6.78 	0.96 	10.17 	2.59 	12.26 	2.26 	12.35 	1.71 
2017	10	6.75 	1.20 	10.13 	2.26 	12.25 	2.39 	12.31 	2.24 
2017	11	6.75 	1.32 	10.14 	2.39 	12.23 	2.87 	12.28 	2.76 
2017	12	6.74 	1.29 	10.08 	1.71 	12.14 	2.23 	12.16 	2.81 
2018	1	6.76 	1.35 	10.23 	2.24 	12.36 	1.79 	12.40 	2.57 
2018	2	6.78 	0.97 	10.28 	2.60 	12.42 	1.78 	12.48 	2.41 
2018	3	6.76 	0.87 	10.26 	2.15 	12.43 	2.28 	12.50 	2.18 
2018	4	6.78 	0.60 	10.36 	1.22 	12.53 	1.81 	12.61 	2.16 
2018	5	6.82 	0.79 	10.34 	0.70 	12.53 	2.08 	12.58 	1.59 
2018	6	6.82 	0.61 	10.38 	1.12 	12.55 	1.49 	12.61 	1.42 
2018	7	6.85 	1.09 	10.46 	1.48 	12.70 	2.38 	12.76 	0.73 
2018	8	6.77 	1.14 	10.33 	2.15 	12.68 	2.28 	12.77 	0.71 
2018	9	6.74 	1.07 	10.38 	1.93 	12.81 	2.90 	12.98 	1.05 
2018	10	6.73 	1.27 	10.37 	2.11 	12.83 	3.52 	13.00 	1.64 
2018	11	6.63 	1.23 	10.23 	2.41 	12.78 	3.02 	12.95 	3.13 
2018	12	6.63 	1.49 	10.19 	1.98 	12.76 	2.98 	12.95 	3.46 
2019	1	6.68 	1.46 	10.16 	2.41 	12.72 	2.90 	12.92 	2.57 
2019	2	6.71 	0.92 	10.07 	2.93 	12.61 	2.99 	12.80 	2.17 
2019	3	6.73 	1.01 	10.03 	2.81 	12.60 	2.86 	12.82 	3.28 
2019	4	6.71 	1.17 	9.87 	2.06 	12.44 	3.81 	12.64 	3.31 
2019	5	6.65 	0.91 	9.80 	1.46 	12.32 	2.34 	12.54 	1.58 
2019	6	6.60 	1.14 	9.79 	2.09 	12.35 	2.20 	12.53 	1.87 
2019	7	6.53 	1.07 	9.65 	1.97 	12.15 	1.93 	12.30 	1.71 
2019	8	6.59 	1.09 	9.78 	2.36 	12.17 	1.60 	12.31 	2.66 
2019	9	6.63 	1.25 	9.78 	2.78 	12.02 	2.86 	12.19 	2.43 
2019	10	6.68 	1.10 	9.84 	2.10 	12.01 	2.56 	12.21 	2.25 
2019	11	6.78 	1.31 	9.97 	1.58 	12.09 	2.72 	12.30 	2.21 
2019	12	6.80 	1.57 	10.08 	1.89 	12.21 	2.49 	12.42 	1.74 
2020	1	6.74 	1.35 	9.96 	1.38 	12.03 	1.84 	12.22 	1.49 
2020	2	6.69 	1.03 	10.02 	2.16 	12.09 	1.91 	12.26 	2.22 
2020	3	6.70 	0.89 	10.08 	1.90 	12.10 	2.46 	12.24 	2.41 
2020	4	6.70 	0.81 	10.14 	1.43 	12.16 	2.38 	12.31 	2.96 
2020	5	6.73 	0.94 	10.23 	0.90 	12.29 	2.60 	12.45 	2.50 
2020	6	6.78 	0.92 	10.21 	0.77 	12.24 	1.04 	12.43 	0.87 
2020	7	6.83 	1.21 	10.28 	1.73 	12.31 	1.25 	12.51 	1.09 
2020	8	6.90 	1.15 	10.38 	2.27 	12.41 	1.96 	12.57 	1.05 
2020	9	6.92 	0.96 	10.38 	2.59 	12.41 	2.26 	12.46 	1.71 
2020	10	6.99 	1.20 	10.35 	2.26 	12.29 	2.39 	12.25 	2.24 
2020	11	7.09 	1.33 	10.47 	2.38 	12.32 	2.86 	12.21 	2.76 
2020	12	7.32 	1.29 	10.73 	1.70 	12.48 	2.23 	12.35 	2.81 
2021	1	7.56 	1.08 	11.13 	2.09 	12.86 	2.95 	12.74 	2.56 
2021	2	7.83 	0.77 	11.43 	1.87 	13.14 	2.60 	13.01 	2.56 
2021	3	8.06 	0.65 	11.65 	2.09 	13.39 	2.03 	13.23 	2.12 
2021	4	8.28 	0.73 	11.91 	1.76 	13.68 	2.22 	13.50 	2.40 
2021	5	8.49 	0.71 	12.19 	1.24 	14.01 	1.74 	13.80 	2.09 
2021	6	8.62 	0.64 	12.39 	1.21 	14.26 	1.80 	14.00 	0.90 
2021	7	8.72 	0.77 	12.49 	1.71 	14.39 	1.17 	14.08 	1.34 
2021	8	8.89 	0.80 	12.70 	1.73 	14.67 	1.71 	14.33 	1.56 
2021	9	9.09 	1.16 	12.98 	2.85 	14.99 	2.54 	14.64 	1.61 
2021	10	9.21 	1.06 	13.25 	2.81 	15.32 	2.57 	14.98 	2.35 
2021	11	9.29 	1.24 	13.45 	2.26 	15.65 	2.48 	15.31 	3.22 
2021	12	9.29 	1.16 	13.50 	2.22 	15.73 	2.32 	15.41 	3.17 
2022	1	9.31 	0.87 	13.46 	2.31 	15.72 	2.93 	15.42 	2.67 
2022	2	9.30 	0.73 	13.55 	2.09 	15.90 	2.69 	15.59 	2.46 
2022	3	9.29 	0.64 	13.68 	1.94 	16.06 	2.04 	15.81 	2.81 
2022	4	9.35 	0.56 	13.90 	1.50 	16.34 	2.70 	16.10 	2.56 
2022	5	9.41 	0.76 	13.99 	0.78 	16.44 	2.42 	16.21 	1.33 
2022	6	9.55 	0.74 	14.16 	1.43 	16.59 	1.82 	16.36 	0.69 
2022	7	9.77 	1.00 	14.55 	1.82 	17.07 	2.07 	16.83 	0.98 
2022	8	9.63 	0.94 	14.38 	2.89 	16.84 	2.33 	16.65 	0.75 
2022	9	9.49 	1.32 	14.19 	3.23 	16.63 	3.06 	16.47 	1.45 
2022	10	9.39 	1.43 	14.02 	2.84 	16.45 	3.20 	16.32 	2.14 
2022	11	9.30 	1.24 	13.85 	2.77 	16.22 	3.00 	16.11 	3.03 
2022	12	9.22 	1.60 	13.73 	2.14 	16.12 	3.27 	16.00 	3.41 
