%%% Global Ocean Heat Content estimate from 1993 to 2022 (Monthly)  v1.1.2
%%%Deep ocean remote sensing (DORS) retrieval algorithm for retrieving ocean internal information from remote sensing data, firstly Published in remote sensing
%%% Su ... Lu*, 2020, OPEN: A New Estimation of Global Ocean Heat Content for Upper 2000 Meters from Remote Sensing Data,remote sensing. 2020, 12, 2294; doi:10.3390/rs12142294

%%% v1.1.2 Update date: Aug. 2023 by Wenfang Lu (extended to 2022)
%%% v1.1.1 Update date: Dec. 2020 by HaoJie Zhang and Wenfang Lu; %%% Note: This version is based on v1.0.1, we increase the number of neurons to improve
%%% unit of OHC:  *10^22 Joules
%%% OHC is 12-month running mean.
%%% Baseline: 1993-2015
%%% Note: [Error] refers to 95% CI is OHC+/-Error 2 /sigma
%%% Link to OPEN data: https://github.com/scenty/OPEN-OHC/
%%%
[year]	[month]	 [OHC0-300m]	[Error]	[OHC0-700m]	[Error]	[OHC0-1500m]	[Error]	[OHC0-2000m]	[Error]
1995	2	-4.11 	1.59 	-5.50 	3.03 	-7.05 	0.94 	-6.97 	2.82 
1995	3	-4.10 	1.14 	-5.55 	2.01 	-7.02 	1.90 	-6.98 	3.14 
1995	4	-4.06 	0.93 	-5.56 	2.09 	-6.98 	2.68 	-6.94 	2.10 
1995	5	-3.97 	1.14 	-5.47 	2.41 	-6.86 	2.71 	-6.82 	2.01 
1995	6	-3.98 	1.31 	-5.57 	3.74 	-7.00 	1.86 	-6.99 	2.05 
1995	7	-4.00 	1.70 	-5.65 	3.76 	-7.16 	1.83 	-7.12 	2.65 
1995	8	-4.00 	1.64 	-5.64 	3.69 	-7.22 	1.81 	-7.11 	2.52 
1995	9	-3.96 	1.65 	-5.57 	3.67 	-7.21 	2.77 	-7.10 	2.55 
1995	10	-3.90 	1.63 	-5.50 	3.39 	-7.21 	2.74 	-7.03 	2.11 
1995	11	-3.79 	1.64 	-5.35 	2.64 	-7.08 	2.79 	-6.91 	1.38 
1995	12	-3.68 	1.59 	-5.19 	2.86 	-6.95 	2.35 	-6.81 	1.11 
1996	1	-3.68 	1.62 	-5.24 	2.38 	-7.00 	1.72 	-6.92 	2.07 
1996	2	-3.69 	1.39 	-5.26 	1.93 	-7.03 	1.34 	-6.95 	2.34 
1996	3	-3.64 	0.77 	-5.20 	1.26 	-6.98 	1.87 	-6.88 	2.06 
1996	4	-3.56 	0.68 	-5.14 	1.53 	-6.95 	1.75 	-6.79 	0.62 
1996	5	-3.47 	0.90 	-4.96 	2.04 	-6.72 	2.27 	-6.52 	1.76 
1996	6	-3.41 	1.09 	-4.90 	2.97 	-6.60 	2.64 	-6.40 	2.06 
1996	7	-3.36 	1.33 	-4.83 	3.10 	-6.42 	2.12 	-6.23 	2.39 
1996	8	-3.30 	1.31 	-4.84 	3.44 	-6.39 	1.82 	-6.24 	2.03 
1996	9	-3.26 	1.36 	-4.93 	3.14 	-6.50 	2.15 	-6.29 	1.96 
1996	10	-3.21 	1.56 	-4.96 	2.80 	-6.43 	2.48 	-6.26 	1.57 
1996	11	-3.21 	1.77 	-4.99 	2.46 	-6.36 	2.97 	-6.25 	1.63 
1996	12	-3.20 	1.74 	-5.02 	2.30 	-6.36 	2.14 	-6.23 	1.55 
1997	1	-3.06 	1.73 	-4.69 	2.41 	-5.88 	1.62 	-5.75 	2.37 
1997	2	-3.02 	1.63 	-4.52 	2.98 	-5.54 	1.98 	-5.46 	2.44 
1997	3	-2.94 	1.10 	-4.38 	2.41 	-5.28 	1.75 	-5.23 	2.64 
1997	4	-2.83 	1.10 	-4.16 	1.77 	-4.91 	1.22 	-4.93 	1.80 
1997	5	-2.67 	1.36 	-3.87 	2.38 	-4.47 	1.84 	-4.50 	2.47 
1997	6	-2.54 	1.36 	-3.62 	2.56 	-4.11 	2.09 	-4.05 	2.22 
1997	7	-2.31 	1.71 	-3.30 	3.62 	-3.71 	2.00 	-3.59 	2.94 
1997	8	-2.17 	1.52 	-3.05 	3.84 	-3.34 	2.85 	-3.15 	2.95 
1997	9	-2.07 	1.87 	-2.77 	3.47 	-2.78 	3.80 	-2.66 	2.16 
1997	10	-2.00 	1.95 	-2.50 	3.45 	-2.34 	3.18 	-2.19 	1.92 
1997	11	-1.90 	2.22 	-2.25 	2.55 	-1.92 	3.08 	-1.73 	1.49 
1997	12	-1.80 	2.07 	-2.05 	2.22 	-1.51 	2.24 	-1.38 	1.33 
1998	1	-1.79 	1.69 	-2.13 	2.56 	-1.61 	2.17 	-1.52 	2.07 
1998	2	-1.75 	1.32 	-2.13 	2.66 	-1.67 	2.21 	-1.60 	0.79 
1998	3	-1.75 	1.01 	-2.18 	1.75 	-1.77 	1.06 	-1.67 	0.70 
1998	4	-1.83 	1.25 	-2.22 	1.30 	-1.85 	1.90 	-1.73 	1.63 
1998	5	-2.03 	1.23 	-2.47 	2.31 	-2.21 	2.40 	-2.10 	1.73 
1998	6	-2.18 	1.32 	-2.72 	2.26 	-2.57 	2.61 	-2.58 	2.01 
1998	7	-2.39 	1.74 	-2.98 	2.21 	-2.94 	1.83 	-3.05 	2.87 
1998	8	-2.54 	2.01 	-3.20 	2.25 	-3.20 	1.75 	-3.39 	2.62 
1998	9	-2.62 	1.27 	-3.33 	2.21 	-3.43 	2.10 	-3.62 	2.33 
1998	10	-2.74 	1.25 	-3.55 	2.37 	-3.81 	2.64 	-3.99 	1.90 
