%%% Global Ocean Heat Content estimate from 1993 to 2019 (Monthly)  v1.0.1
%%%Deep-sea remote sensing retrieval algorithm for retrieving ocean internal information from remote sensing data, firstly Published in remote sensing
%%% Su and Lu, 2020, OPEN: A New Estimation of Global Ocean Heat Content for Upper 2000 Meters from Remote Sensing Data,remote sensing. 2020, 12, 2294; doi:10.3390/rs12142294

%%% Update date: Dec. 2020 by HaoJie.Zhang and Wenfang.Lu
%%% unit of OHC:  *10^22 Joules
%%% OHC is 12-month running mean.
%%% Baseline: 1993-2015
%%% Note: [Error] refers to 95% CI is OHC+/-Error 2 (/sigma
%%% Link to OPEN data: https://github.com/scenty/OPEN-OHC/
[year]	[month]	[ OHC0-300m]	[ Error]	[ OHC0-700m]	[ Error]	[OHC0-1500m]	[ Error]	[OHC0-2000m]	[Error]
2001	6	-1.49 	0.24 	-2.50 	0.30 	-3.86 	0.32 	-4.08 	0.31 
2001	7	-1.42 	0.24 	-2.50 	0.34 	-3.78 	0.34 	-3.94 	0.30 
2001	8	-1.40 	0.23 	-2.54 	0.35 	-3.83 	0.34 	-3.93 	0.29 
2001	9	-1.44 	0.23 	-2.70 	0.34 	-3.96 	0.31 	-4.03 	0.33 
2001	10	-1.37 	0.22 	-2.61 	0.30 	-3.67 	0.25 	-3.77 	0.31 
2001	11	-1.33 	0.21 	-2.60 	0.28 	-3.63 	0.24 	-3.72 	0.33 
2001	12	-1.22 	0.19 	-2.52 	0.23 	-3.49 	0.20 	-3.55 	0.34 
2002	1	-1.17 	0.18 	-2.48 	0.23 	-3.45 	0.22 	-3.49 	0.40 
2002	2	-1.05 	0.18 	-2.21 	0.22 	-3.11 	0.21 	-3.20 	0.39 
2002	3	-0.98 	0.16 	-2.06 	0.21 	-2.78 	0.24 	-2.92 	0.39 
2002	4	-0.94 	0.15 	-1.94 	0.20 	-2.58 	0.23 	-2.74 	0.43 
2002	5	-0.80 	0.14 	-1.71 	0.14 	-2.12 	0.23 	-2.28 	0.46 
2002	6	-0.78 	0.14 	-1.71 	0.17 	-2.03 	0.25 	-2.21 	0.54 
2002	7	-0.76 	0.14 	-1.59 	0.20 	-1.87 	0.23 	-2.06 	0.60 
2002	8	-0.69 	0.16 	-1.43 	0.24 	-1.63 	0.22 	-1.87 	0.71 
2002	9	-0.50 	0.18 	-1.09 	0.29 	-1.29 	0.21 	-1.44 	0.76 
2002	10	-0.50 	0.17 	-0.97 	0.26 	-1.25 	0.20 	-1.30 	0.71 
2002	11	-0.42 	0.17 	-0.89 	0.26 	-1.12 	0.24 	-1.14 	0.67 
2002	12	-0.39 	0.16 	-0.79 	0.26 	-0.98 	0.25 	-1.01 	0.64 
2003	1	-0.34 	0.15 	-0.69 	0.27 	-0.85 	0.31 	-0.91 	0.64 
2003	2	-0.37 	0.15 	-0.77 	0.30 	-0.96 	0.31 	-0.96 	0.58 
2003	3	-0.39 	0.13 	-0.82 	0.28 	-1.07 	0.34 	-1.07 	0.56 
2003	4	-0.42 	0.12 	-0.97 	0.30 	-1.34 	0.30 	-1.34 	0.49 
2003	5	-0.47 	0.11 	-1.08 	0.29 	-1.59 	0.31 	-1.62 	0.41 
2003	6	-0.41 	0.11 	-1.07 	0.22 	-1.61 	0.32 	-1.64 	0.37 
2003	7	-0.27 	0.10 	-0.89 	0.21 	-1.40 	0.30 	-1.44 	0.36 
2003	8	-0.15 	0.08 	-0.83 	0.17 	-1.34 	0.32 	-1.34 	0.35 
2003	9	-0.14 	0.07 	-0.91 	0.15 	-1.33 	0.26 	-1.37 	0.34 
2003	10	-0.03 	0.09 	-0.87 	0.17 	-1.31 	0.24 	-1.39 	0.32 
2003	11	0.09 	0.08 	-0.70 	0.20 	-1.15 	0.24 	-1.23 	0.33 
