%%% Global Ocean Heat Content estimate from 1993 to 2019 (Monthly)  v1.0.1
%%%Deep-sea remote sensing retrieval algorithm for retrieving ocean internal information from remote sensing data, firstly Published in remote sensing
%%% Su and Lu, 2020, OPEN: A New Estimation of Global Ocean Heat Content for Upper 2000 Meters from Remote Sensing Data,remote sensing. 2020, 12, 2294; doi:10.3390/rs12142294

%%% Update date: Dec. 2020 by HaoJie.Zhang and Wenfang.Lu
%%% unit of OHC:  *10^22 Joules
%%% OHC is 12-month running mean.
%%% Baseline: 1993-2015
%%% Note: [Error] refers to 95% CI is OHC+/-Error 2 (/sigma
%%% Link to OPEN data: https://github.com/scenty/OPEN-OHC/
[year]	[month]	[ OHC0-300m]	[ Error]	[ OHC0-700m]	[ Error]	[OHC0-1500m]	[ Error]	[OHC0-2000m]	[Error]
2013	11	5.06 	0.26 	7.30 	0.28 	8.82 	0.47 	9.45 	0.57 
2013	12	5.09 	0.27 	7.32 	0.30 	8.92 	0.45 	9.58 	0.56 
2014	1	5.18 	0.29 	7.45 	0.27 	9.17 	0.42 	9.82 	0.53 
2014	2	5.28 	0.29 	7.61 	0.26 	9.39 	0.40 	9.98 	0.49 
2014	3	5.34 	0.30 	7.75 	0.29 	9.64 	0.40 	10.22 	0.54 
2014	4	5.45 	0.31 	8.02 	0.28 	10.14 	0.41 	10.64 	0.51 
2014	5	5.46 	0.31 	8.05 	0.29 	10.21 	0.46 	10.68 	0.51 
2014	6	5.53 	0.32 	8.19 	0.33 	10.39 	0.48 	10.89 	0.50 
2014	7	5.60 	0.32 	8.30 	0.34 	10.56 	0.55 	11.13 	0.50 
2014	8	5.66 	0.33 	8.36 	0.32 	10.66 	0.59 	11.24 	0.56 
2014	9	5.75 	0.33 	8.50 	0.33 	10.95 	0.63 	11.57 	0.62 
2014	10	5.83 	0.32 	8.63 	0.32 	11.19 	0.64 	11.84 	0.58 
2014	11	5.93 	0.34 	8.74 	0.36 	11.39 	0.65 	12.09 	0.57 
2014	12	6.07 	0.36 	9.01 	0.37 	11.81 	0.66 	12.55 	0.56 
2015	1	6.18 	0.37 	9.25 	0.43 	12.20 	0.68 	13.01 	0.61 
2015	2	6.29 	0.37 	9.42 	0.47 	12.48 	0.67 	13.37 	0.62 
2015	3	6.35 	0.36 	9.55 	0.45 	12.72 	0.69 	13.64 	0.57 
2015	4	6.54 	0.37 	9.83 	0.48 	13.10 	0.71 	14.10 	0.60 
2015	5	6.87 	0.38 	10.40 	0.47 	13.90 	0.72 	14.95 	0.57 
2015	6	7.04 	0.39 	10.72 	0.48 	14.43 	0.75 	15.50 	0.57 
2015	7	7.22 	0.41 	10.98 	0.47 	14.86 	0.70 	15.96 	0.57 
2015	8	7.34 	0.42 	11.22 	0.53 	15.31 	0.68 	16.52 	0.58 
2015	9	7.48 	0.43 	11.52 	0.53 	15.78 	0.66 	17.07 	0.58 
2015	10	7.62 	0.44 	11.79 	0.57 	16.17 	0.67 	17.53 	0.66 
2015	11	7.68 	0.45 	11.97 	0.61 	16.39 	0.70 	17.80 	0.71 
2015	12	7.75 	0.43 	12.10 	0.63 	16.41 	0.71 	17.80 	0.75 
2016	1	7.92 	0.43 	12.31 	0.65 	16.53 	0.73 	17.94 	0.78 
2016	2	8.00 	0.43 	12.38 	0.63 	16.57 	0.72 	17.98 	0.80 
2016	3	8.10 	0.45 	12.50 	0.62 	16.62 	0.67 	18.01 	0.78 
2016	4	8.11 	0.45 	12.45 	0.63 	16.37 	0.70 	17.70 	0.80 
2016	5	8.07 	0.44 	12.33 	0.63 	16.10 	0.66 	17.38 	0.81 
2016	6	8.13 	0.42 	12.38 	0.61 	16.03 	0.66 	17.26 	0.77 
2016	7	8.15 	0.39 	12.38 	0.60 	15.86 	0.68 	17.04 	0.72 
2016	8	8.22 	0.38 	12.40 	0.59 	15.74 	0.72 	16.77 	0.74 
2016	9	8.26 	0.36 	12.29 	0.55 	15.43 	0.76 	16.38 	0.73 
2016	10	8.32 	0.34 	12.32 	0.46 	15.34 	0.79 	16.20 	0.68 
2016	11	8.43 	0.33 	12.43 	0.43 	15.37 	0.87 	16.22 	0.68 
2016	12	8.43 	0.34 	12.40 	0.44 	15.31 	0.92 	16.21 	0.66 
2017	1	8.34 	0.32 	12.22 	0.43 	15.07 	0.95 	15.98 	0.69 
2017	2	8.32 	0.32 	12.27 	0.42 	15.09 	1.00 	16.02 	0.67 
2017	3	8.37 	0.31 	12.36 	0.40 	15.15 	1.06 	16.10 	0.70 
2017	4	8.41 	0.29 	12.44 	0.37 	15.28 	1.06 	16.30 	0.69 
2017	5	8.47 	0.29 	12.55 	0.34 	15.35 	1.08 	16.41 	0.67 
2017	6	8.52 	0.27 	12.57 	0.28 	15.34 	1.09 	16.44 	0.70 
2017	7	8.59 	0.28 	12.67 	0.29 	15.40 	1.15 	16.48 	0.74 
2017	8	8.68 	0.29 	12.86 	0.28 	15.52 	1.18 	16.66 	0.72 
2017	9	8.68 	0.30 	12.99 	0.23 	15.72 	1.23 	16.87 	0.73 
2017	10	8.68 	0.29 	13.07 	0.26 	15.77 	1.20 	16.95 	0.83 
2017	11	8.70 	0.30 	13.08 	0.31 	15.77 	1.13 	16.90 	0.81 
2017	12	8.70 	0.30 	13.03 	0.32 	15.67 	1.08 	16.78 	0.82 
2018	1	8.74 	0.30 	13.17 	0.35 	15.89 	1.06 	16.95 	0.77 
2018	2	8.77 	0.31 	13.27 	0.38 	16.01 	1.03 	17.03 	0.82 
2018	3	8.76 	0.32 	13.26 	0.38 	16.00 	1.05 	17.02 	0.87 
2018	4	8.76 	0.35 	13.32 	0.41 	16.12 	1.07 	17.04 	0.94 
2018	5	8.81 	0.37 	13.38 	0.41 	16.32 	1.07 	17.20 	1.04 
2018	6	8.79 	0.37 	13.40 	0.39 	16.39 	1.06 	17.20 	0.99 
2018	7	8.82 	0.37 	13.52 	0.42 	16.66 	1.03 	17.47 	0.97 
2018	8	8.82 	0.35 	13.61 	0.47 	16.90 	1.01 	17.69 	1.01 
2018	9	8.86 	0.34 	13.70 	0.45 	17.05 	0.93 	17.84 	1.02 
2018	10	8.98 	0.37 	13.92 	0.44 	17.36 	0.92 	18.18 	1.04 
2018	11	9.06 	0.37 	14.04 	0.42 	17.58 	0.92 	18.43 	1.06 
2018	12	9.16 	0.38 	14.31 	0.37 	18.03 	0.94 	18.88 	1.07 
2019	1	9.33 	0.40 	14.56 	0.36 	18.35 	0.95 	19.18 	1.02 
2019	2	9.57 	0.42 	14.85 	0.34 	18.71 	0.97 	19.55 	1.06 
2019	3	9.84 	0.45 	15.14 	0.38 	19.05 	0.93 	19.90 	1.09 
2019	4	9.99 	0.47 	15.27 	0.38 	19.14 	0.89 	19.98 	1.07 
2019	5	10.01 	0.49 	15.26 	0.40 	19.06 	0.89 	19.88 	1.05 
2019	6	10.22 	0.52 	15.57 	0.41 	19.46 	0.88 	20.24 	1.13 
2019	7	10.47 	0.53 	15.90 	0.41 	19.85 	0.88 	20.56 	1.13 
2019	8	10.45 	0.53 	15.77 	0.38 	19.65 	0.87 	20.35 	1.11 
2019	9	10.41 	0.53 	15.67 	0.38 	19.49 	0.92 	20.18 	1.11 
2019	10	10.33 	0.51 	15.50 	0.36 	19.26 	0.93 	19.93 	1.07 
2019	11	10.27 	0.50 	15.41 	0.35 	19.11 	0.95 	19.78 	1.05 
2019	12	10.21 	0.49 	15.25 	0.36 	18.85 	0.95 	19.52 	1.03 
