%%% Global Ocean Heat Content estimate from 1993 to 2024 (Monthly)  v1.1.4
%%%Deep ocean remote sensing (DORS) retrieval algorithm for retrieving ocean internal information from remote sensing data, firstly Published in remote sensing
%%% Su ... Lu*, 2020, OPEN: A New Estimation of Global Ocean Heat Content for Upper 2000 Meters from Remote Sensing Data,remote sensing. 2020, 12, 2294; doi:10.3390/rs12142294

%%% v1.1.4 Update date: Oct. 2025 by Wenfang Lu (extended to 2024), updating ADT data to 1/8-degree dt product since 2023
%%% v1.1.3 Update date: Apr. 2024 by Wenfang Lu (extended to 2023), corrected 2018-2022 bias due to input data
%%% v1.1.2 Update date: Aug. 2023 by Wenfang Lu (extended to 2022)
%%% v1.1.1 Update date: Dec. 2020 by HaoJie Zhang and Wenfang Lu; %%% Note: This version is based on v1.0.1, we increase the number of neurons to improve
%%% unit of OHC:  *10^22 Joules
%%% OHC is 12-month running mean.
%%% Baseline: 1993-2015
%%% Note: [Error] refers to 95% CI is OHC+/-Error 2 /sigma
%%% Link to OPEN data: https://github.com/scenty/OPEN-OHC/
%%%
[year]	[month]	 [OHC0-300m]	[Error]	[OHC0-700m]	[Error]	[OHC0-1500m]	[Error]	[OHC0-2000m]	[Error]		
2011	12	2.29	1	3.23 	1.75 	4.10 	1.70 	4.14 	2.47 		
2012	1	2.33	1.01	3.20 	1.52 	4.06 	1.37 	4.09 	1.16 		
2012	2	2.44	1.25	3.32 	1.38 	4.24 	0.72 	4.23 	1.25 		
2012	3	2.56	0.95	3.44 	1.33 	4.43 	1.28 	4.38 	1.47 		
2012	4	2.67	0.83	3.55 	1.81 	4.62 	1.41 	4.57 	1.40 		
2012	5	2.79	0.65	3.74 	0.74 	4.89 	1.46 	4.80 	1.23 		
2012	6	2.85	0.74	3.84 	0.86 	5.00 	1.54 	4.92 	0.73 		
2012	7	3.04	0.91	4.18 	1.48 	5.39 	1.52 	5.33 	1.31 		
2012	8	3.19	0.85	4.40 	1.57 	5.63 	1.92 	5.61 	1.13 		
2012	9	3.27	1.18	4.47 	2.05 	5.76 	1.82 	5.74 	1.80 		
2012	10	3.36	1.02	4.61 	1.92 	5.95 	2.17 	5.88 	1.57 		
2012	11	3.43	1.17	4.61 	1.52 	5.90 	1.67 	5.84 	2.00 		
2012	12	3.53	1.29	4.74 	1.31 	6.02 	1.76 	5.97 	1.66 		
2013	1	3.58	1.04	4.92 	1.68 	6.22 	1.95 	6.20 	1.26 		
2013	2	3.59	0.8	4.97 	1.42 	6.22 	1.57 	6.21 	1.61 		
2013	3	3.63	0.82	5.06 	1.42 	6.28 	1.52 	6.28 	1.63 		
2013	4	3.64	0.91	5.03 	1.26 	6.25 	1.60 	6.20 	2.05 		
2013	5	3.66	0.78	5.06 	1.12 	6.32 	1.80 	6.28 	1.16 		
2013	6	3.7	0.87	5.05 	1.32 	6.29 	1.67 	6.25 	1.91 		
2013	7	3.67	0.81	5.01 	1.29 	6.23 	1.42 	6.17 	1.72 		
2013	8	3.7	0.86	5.05 	1.73 	6.29 	1.90 	6.19 	1.82 		
2013	9	3.73	1.12	5.13 	2.09 	6.33 	2.24 	6.22 	1.49 		
2013	10	3.79	1.15	5.15 	1.75 	6.36 	2.29 	6.26 	1.49 		
2013	11	3.86	1.35	5.25 	2.08 	6.53 	1.94 	6.41 	1.93 		
2013	12	3.91	1.1	5.29 	1.82 	6.63 	1.13 	6.51 	1.75 		
2014	1	4.01	1	5.38 	1.61 	6.76 	1.86 	6.60 	1.58 		
2014	2	4.1	0.77	5.54 	2.04 	7.01 	1.87 	6.83 	1.65 		
2014	3	4.17	0.85	5.64 	1.94 	7.17 	1.74 	6.93 	1.33 		
2014	4	4.26	1.13	5.87 	1.42 	7.45 	1.45 	7.23 	1.89 		
2014	5	4.3	0.91	5.92 	1.32 	7.50 	1.98 	7.24 	0.93 		
2014	6	4.38	1.08	6.02 	1.66 	7.61 	1.64 	7.35 	1.28 		
2014	7	4.42	0.91	6.04 	1.54 	7.67 	2.13 	7.40 	0.45 		
2014	8	4.44	1.23	6.03 	1.80 	7.64 	1.82 	7.40 	1.46 		
2014	9	4.48	1.44	6.04 	2.26 	7.68 	2.49 	7.45 	1.80 		
2014	10	4.57	1.34	6.16 	2.21 	7.80 	2.61 	7.53 	1.85 		
2014	11	4.66	1.47	6.29 	2.04 	8.02 	2.87 	7.71 	2.18 		
2014	12	4.8	1.41	6.59 	1.52 	8.45 	2.36 	8.11 	1.75 		
2015	1	4.88	1.05	6.76 	1.83 	8.69 	1.61 	8.33 	1.27 		
2015	2	5	0.7	6.89 	2.21 	8.90 	1.99 	8.53 	1.25 		
2015	3	5.06	0.79	6.96 	1.85 	9.00 	1.51 	8.63 	1.18 		
2015	4	5.24	0.98	7.13 	1.41 	9.26 	2.10 	8.89 	1.85 		
2015	5	5.46	1.06	7.51 	1.21 	9.76 	1.42 	9.41 	1.19 		
2015	6	5.63	1.39	7.78 	1.75 	10.21 	1.13 	9.89 	1.31 		
2015	7	5.83	1.33	8.07 	2.09 	10.62 	1.96 	10.32 	1.36 		
2015	8	5.96	1.64	8.30 	3.12 	11.01 	2.99 	10.76 	1.39 		
2015	9	6.13	1.76	8.69 	3.16 	11.57 	3.26 	11.39 	1.82 		
2015	10	6.26	1.63	8.96 	3.11 	11.98 	3.91 	11.90 	2.00 		
2015	11	6.29	2.01	9.12 	2.84 	12.22 	2.77 	12.22 	2.40 		
2015	12	6.31	1.79	9.08 	2.33 	12.12 	2.88 	12.17 	1.95 		
2016	1	6.45	1.64	9.27 	2.45 	12.26 	2.88 	12.35 	2.57 		
2016	2	6.52	1.2	9.35 	2.88 	12.27 	3.04 	12.39 	2.16 		
2016	3	6.62	1.2	9.52 	2.73 	12.43 	2.89 	12.61 	3.30 		
2016	4	6.57	1.4	9.45 	2.01 	12.25 	3.77 	12.42 	3.28 		
2016	5	6.55	1.09	9.43 	1.47 	12.09 	2.32 	12.29 	1.54 		
2016	6	6.54	1.39	9.53 	2.14 	12.08 	2.30 	12.24 	1.79 		
2016	7	6.5	1.11	9.54 	1.98 	11.96 	2.01 	12.12 	1.69 		
2016	8	6.55	1.28	9.66 	2.43 	11.97 	1.72 	12.11 	2.66 		
2016	9	6.56	1.34	9.65 	2.84 	11.80 	2.93 	11.98 	2.41 		
2016	10	6.6	1.3	9.71 	2.13 	11.79 	2.61 	11.99 	2.22 		
2016	11	6.7	1.44	9.84 	1.60 	11.86 	2.84 	12.07 	2.15 		
2016	12	6.71	1.52	9.94 	1.91 	11.97 	2.53 	12.19 	1.70 		
2017	1	6.62	1.06	9.82 	1.40 	11.79 	1.86 	11.98 	1.36 		
2017	2	6.56	0.87	9.87 	2.05 	11.84 	1.95 	12.02 	2.17 		
2017	3	6.57	0.88	9.93 	1.74 	11.86 	2.47 	12.00 	2.35 		
2017	4	6.58	1.07	9.99 	1.39 	11.92 	2.38 	12.07 	2.89 		
2017	5	6.59	0.97	10.09 	0.93 	12.05 	2.57 	12.21 	2.42 		
2017	6	6.64	1.05	10.06 	0.89 	11.99 	1.10 	12.18 	0.73 		
2017	7	6.68	1.1	10.14 	1.80 	12.07 	1.33 	12.27 	1.10 		
2017	8	6.7	0.99	10.16 	2.33 	12.08 	1.99 	12.27 	1.07 		
2017	9	6.7	1.05	10.11 	2.65 	12.10 	2.30 	12.19 	1.69 		
2017	10	6.65	1.24	10.07 	2.33 	12.09 	2.50 	12.13 	2.23 		
2017	11	6.64	1.28	10.08 	2.35 	12.05 	2.81 	12.10 	2.79 		
2017	12	6.61	0.91	10.01 	1.69 	11.96 	2.22 	11.97 	2.78 		
2018	1	6.64	0.89	10.17 	2.13 	12.18 	1.76 	12.21 	2.46 		
2018	2	6.67	0.6	10.21 	2.49 	12.24 	1.88 	12.29 	2.26 		
2018	3	6.64	0.86	10.20 	2.01 	12.25 	2.31 	12.31 	2.08 		
2018	4	6.66	0.67	10.30 	1.18 	12.35 	1.86 	12.42 	2.07 		
2018	5	6.7	0.83	10.28 	0.76 	12.35 	2.09 	12.39 	1.48 		
2018	6	6.72	0.99	10.32 	1.18 	12.37 	1.58 	12.42 	1.37 		
2018	7	6.76	1.04	10.40 	1.50 	12.51 	2.46 	12.56 	0.74 		
2018	8	6.79	0.97	10.50 	2.22 	12.75 	2.36 	12.78 	0.70 		
2018	9	6.86	1.07	10.61 	1.97 	12.91 	2.98 	12.92 	1.03 		
2018	10	6.98	1.37	10.76 	2.16 	13.11 	3.61 	13.10 	1.59 		
2018	11	7.06	1.28	10.85 	2.39 	13.22 	3.02 	13.19 	3.13 		
2018	12	7.18	1.32	11.09 	1.97 	13.48 	2.97 	13.48 	3.39 		
2019	1	7.3	0.72	11.20 	1.83 	13.59 	3.10 	13.56 	1.81 		
2019	2	7.47	0.8	11.43 	2.26 	13.84 	2.69 	13.82 	1.73 		
2019	3	7.73	0.68	11.71 	1.94 	14.19 	1.99 	14.12 	2.42 		
2019	4	7.94	0.85	11.91 	1.79 	14.46 	1.95 	14.39 	2.64 		
2019	5	8	0.88	11.98 	1.49 	14.56 	2.61 	14.47 	1.44 		
2019	6	8.13	1.34	12.18 	1.40 	14.74 	1.76 	14.65 	0.93 		
2019	7	8.3	0.97	12.40 	1.17 	14.94 	2.59 	14.85 	1.32 		
2019	8	8.42	1.25	12.54 	2.17 	15.06 	2.81 	14.98 	1.53 		
2019	9	8.56	1.33	12.75 	3.08 	15.26 	3.59 	15.22 	1.87 		
2019	10	8.62	1.3	12.83 	2.60 	15.31 	3.39 	15.24 	1.89 		
2019	11	8.71	1.33	12.95 	2.48 	15.40 	2.68 	15.37 	2.32 		
2019	12	8.85	1.3	13.15 	2.38 	15.63 	2.48 	15.60 	2.07 		
2020	1	8.93	1	13.28 	2.08 	15.79 	2.45 	15.79 	1.58 		
2020	2	8.94	0.82	13.19 	2.30 	15.70 	2.59 	15.65 	2.10 		
2020	3	8.87	0.72	13.00 	2.38 	15.50 	1.54 	15.49 	2.02 		
2020	4	8.84	0.92	13.08 	2.16 	15.60 	2.23 	15.62 	2.18 		
2020	5	8.91	0.98	13.28 	1.45 	15.85 	2.06 	15.91 	1.63 		
2020	6	8.9	1.07	13.26 	1.25 	15.90 	1.55 	15.95 	0.91 		
2020	7	8.79	1.06	13.15 	1.44 	15.82 	1.42 	15.86 	1.54 		
2020	8	8.73	1.38	13.09 	2.58 	15.76 	1.72 	15.79 	2.97 		
2020	9	8.61	1.59	12.95 	2.67 	15.58 	2.50 	15.62 	2.00 		
2020	10	8.58	1.53	12.84 	3.10 	15.42 	2.59 	15.46 	2.20 		
2020	11	8.56	1.27	12.84 	2.64 	15.45 	2.03 	15.45 	3.03 		
2020	12	8.6	1.1	12.84 	2.23 	15.39 	2.39 	15.40 	2.85 		
2021	1	8.66	0.64	12.95 	2.09 	15.46 	2.95 	15.48 	2.56 		
2021	2	8.78	0.57	13.18 	1.87 	15.71 	2.60 	15.77 	2.56 		
2021	3	8.89	0.75	13.44 	2.09 	15.98 	2.03 	16.04 	2.12 		
2021	4	8.95	0.76	13.44 	1.76 	15.99 	2.22 	16.02 	2.40 		
2021	5	9.04	0.91	13.58 	1.24 	16.18 	1.74 	16.20 	2.09 		
2021	6	9.06	0.78	13.67 	1.21 	16.36 	1.80 	16.36 	0.90 		
2021	7	9.1	0.87	13.70 	1.71 	16.42 	1.17 	16.41 	1.34 		
2021	8	9.27	1.18	13.91 	1.73 	16.71 	1.71 	16.65 	1.56 		
2021	9	9.47	1.35	14.19 	2.85 	17.02 	2.54 	16.96 	1.61 		
2021	10	9.58	1.3	14.46 	2.81 	17.36 	2.57 	17.30 	2.35 		
2021	11	9.66	1.29	14.66 	2.26 	17.68 	2.48 	17.64 	3.22 		
2021	12	9.66	0.92	14.70 	2.22 	17.76 	2.32 	17.73 	3.17 		
2022	1	9.67	0.8	14.66 	2.31 	17.75 	2.93 	17.74 	2.67 		
2022	2	9.66	0.58	14.76 	2.09 	17.93 	2.69 	17.92 	2.46 		
2022	3	9.65	0.63	14.88 	1.94 	18.09 	2.04 	18.13 	2.81 		
2022	4	9.71	0.67	15.10 	1.50 	18.37 	2.70 	18.42 	2.56 		
2022	5	9.77	0.69	15.20 	0.78 	18.47 	2.42 	18.53 	1.33 		
2022	6	9.92	0.84	15.37 	1.43 	18.63 	1.82 	18.68 	0.69 		
2022	7	10.14	1.22	15.76 	1.82 	19.10 	2.07 	19.15 	0.98 		
2022	8	10.16	1.3	15.77 	2.89 	19.05 	2.33 	19.15 	0.75 		
2022	9	10.17	1.6	15.77 	3.23 	19.09 	3.06 	19.25 	1.45 		
2022	10	10.16	1.31	15.73 	2.84 	19.13 	3.20 	19.30 	2.14 		
2022	11	10.24	1.13	15.75 	2.77 	19.14 	3.00 	19.34 	3.03 		
2022	12	10.39	1.01	15.92 	2.14 	19.42 	3.27 	19.62 	3.41 		
2023	1	10.67 	 0.84 	 16.29 	 1.92 	 19.99 	 2.99 	 20.20 	 2.46 	
2023	2	10.92 	 0.93 	 16.57 	 1.95 	 20.48 	 3.53 	 20.64 	 2.01 	
2023	3	11.21 	 1.02 	 16.89 	 1.70 	 20.98 	 1.44 	 21.14 	 1.64 
2023	4	11.48 	 1.01 	 17.29 	 1.64 	 21.64 	 2.28 	 21.82 	 1.99 	
2023	5	11.69 	 0.77 	 17.58 	 1.53 	 22.09 	 2.45 	 22.27 	 1.67 	
2023	6	11.90 	 0.98 	 18.00 	 1.81 	 22.62 	 2.37 	 22.83 	 1.07 
2023	7	12.10 	 0.73 	 18.27 	 1.76 	 22.89 	 3.06 	 23.14 	 1.73 	
2023	8	12.80 	 1.22 	 19.55 	 2.72 	 24.54 	 3.68 	 24.87 	 3.41 	
2023	9	13.56 	 1.35 	 20.97 	 3.12 	 26.34 	 4.89 	 26.74 	 3.20 
2023	10	14.28 	 1.60 	 22.29 	 3.65 	 27.91 	 5.04 	 28.44 	 2.65 
2023	11	14.86 	 1.77 	 23.45 	 4.05 	 29.30 	 4.36 	 29.91 	 3.03 	
2023	12	15.37 	 1.36 	 24.72 	 3.03 	 31.17 	 3.66 	 31.64 	 2.81 	
2024	1   15.74 	 1.20 	 25.55 	 3.44 	 32.14 	 4.63 	 32.70 	 3.65 
2024	2   16.15 	 1.19 	 26.30 	 3.14 	 32.99 	 3.72 	 33.67 	 2.90 
2024	3   16.53 	 0.89 	 27.05 	 2.75 	 33.89 	 3.20 	 34.60 	 4.02 
2024	4   16.87 	 0.86 	 27.73 	 2.76 	 34.64 	 3.26 	 35.34 	 5.42 
2024	5   17.29 	 2.46 	 28.54 	 4.31 	 35.66 	 7.62 	 36.38 	 3.87 
2024	6   17.64 	 0.94 	 29.27 	 1.93 	 36.66 	 3.03 	 37.41 	 1.04 
2024	7   18.05 	 1.00 	 30.13 	 2.81 	 37.73 	 4.61 	 38.48 	 2.37 
2024	8   17.57 	 1.38 	 29.27 	 3.48 	 36.64 	 5.74 	 37.33 	 3.43 
2024	9   17.06 	 1.70 	 28.33 	 4.25 	 35.43 	 6.53 	 36.05 	 2.96 
2024	10  16.59 	 1.69 	 27.46 	 4.17 	 34.37 	 6.09 	 34.90 	 3.95 
2024	11  16.17 	 1.51 	 26.68 	 3.75 	 33.44 	 5.30 	 33.91 	 4.31 
2024	12  15.79 	 1.52 	 25.77 	 2.78 	 32.10 	 5.70 	 32.65 	 5.15 
