%%% Global Ocean Heat Content estimate from 1993 to 2024 (Monthly)  v1.1.4
%%%Deep ocean remote sensing (DORS) retrieval algorithm for retrieving ocean internal information from remote sensing data, firstly Published in remote sensing
%%% Su ... Lu*, 2020, OPEN: A New Estimation of Global Ocean Heat Content for Upper 2000 Meters from Remote Sensing Data,remote sensing. 2020, 12, 2294; doi:10.3390/rs12142294

%%% v1.1.4 Update date: Oct. 2025 by Wenfang Lu (extended to 2024), updating ADT data to 1/8-degree dt product since 2023
%%% v1.1.3 Update date: Apr. 2024 by Wenfang Lu (extended to 2023), corrected 2018-2022 bias due to input data
%%% v1.1.2 Update date: Aug. 2023 by Wenfang Lu (extended to 2022)
%%% v1.1.1 Update date: Dec. 2020 by HaoJie Zhang and Wenfang Lu; %%% Note: This version is based on v1.0.1, we increase the number of neurons to improve
%%% unit of OHC:  *10^22 Joules
%%% OHC is 12-month running mean.
%%% Baseline: 1993-2015
%%% Note: [Error] refers to 95% CI is OHC+/-Error 2 /sigma
%%% Link to OPEN data: https://github.com/scenty/OPEN-OHC/
%%%
[year]	[month]	 [OHC0-300m]	[Error]	[OHC0-700m]	[Error]	[OHC0-1500m]	[Error]	[OHC0-2000m]	[Error]		
1994	1	-4.23	1.05	-5.83 	2.93 	-7.15 	1.73 	-7.17 	2.34 		
1994	2	-4.19	1.2	-5.78 	2.40 	-7.09 	2.09 	-7.13 	1.96 		
1994	3	-4.21	1.18	-5.84 	2.22 	-7.19 	2.11 	-7.17 	3.19 		
1994	4	-4.22	0.83	-5.74 	2.09 	-7.13 	2.03 	-7.09 	2.20 		
1994	5	-4.31	0.65	-5.93 	3.27 	-7.40 	2.21 	-7.36 	2.36 		
1994	6	-4.26	0.84	-5.76 	4.27 	-7.22 	2.82 	-7.13 	1.59 		
1994	7	-4.2	1.17	-5.65 	4.36 	-7.09 	2.93 	-7.01 	2.90 		
1994	8	-4.19	1.54	-5.62 	3.94 	-7.04 	2.92 	-7.01 	3.18 		
1994	9	-4.13	1.06	-5.55 	4.61 	-7.00 	3.24 	-7.00 	3.21 		
1994	10	-4.1	1.23	-5.49 	4.50 	-6.92 	4.04 	-6.97 	2.66 		
1994	11	-4.13	1.19	-5.56 	3.46 	-7.02 	3.05 	-7.05 	1.85 		
1994	12	-4.16	1.58	-5.57 	3.26 	-7.03 	1.80 	-7.01 	1.93 		
1995	1	-4.09	1.64	-5.54 	3.04 	-7.02 	1.06 	-6.98 	2.95 		
1995	2	-3.98	1.47	-5.46 	3.08 	-6.93 	1.00 	-6.86 	2.85 		
1995	3	-3.98	1.3	-5.51 	2.05 	-6.91 	1.88 	-6.87 	3.14 		
1995	4	-3.93	0.95	-5.51 	2.21 	-6.87 	2.65 	-6.82 	2.09 		
1995	5	-3.85	0.84	-5.43 	2.52 	-6.76 	2.76 	-6.72 	2.05 		
1995	6	-3.88	0.96	-5.53 	3.85 	-6.89 	1.93 	-6.89 	2.06 		
1995	7	-3.92	0.74	-5.61 	3.89 	-7.07 	1.92 	-7.03 	2.65 		
1995	8	-3.93	1.16	-5.60 	3.81 	-7.13 	1.94 	-7.03 	2.62 		
1995	9	-3.89	1.28	-5.54 	3.77 	-7.12 	2.86 	-7.01 	2.63 		
1995	10	-3.82	1.24	-5.46 	3.48 	-7.12 	2.81 	-6.94 	2.11 		
1995	11	-3.71	1.13	-5.31 	2.71 	-6.98 	2.89 	-6.81 	1.33 		
1995	12	-3.61	0.79	-5.14 	2.92 	-6.84 	2.48 	-6.70 	1.11 		
1996	1	-3.64	0.96	-5.18 	2.46 	-6.89 	1.73 	-6.81 	2.05 		
1996	2	-3.66	1.13	-5.20 	1.88 	-6.92 	1.39 	-6.84 	2.36 		
1996	3	-3.62	1.19	-5.14 	1.29 	-6.88 	1.82 	-6.77 	1.95 		
1996	4	-3.55	0.73	-5.09 	1.68 	-6.86 	1.77 	-6.69 	0.62 		
1996	5	-3.47	0.53	-4.92 	2.11 	-6.63 	2.34 	-6.43 	1.85 		
1996	6	-3.39	0.62	-4.87 	3.10 	-6.52 	2.76 	-6.33 	2.09 		
1996	7	-3.34	0.6	-4.80 	3.23 	-6.34 	2.25 	-6.16 	2.41 		
1996	8	-3.29	0.82	-4.81 	3.56 	-6.32 	1.93 	-6.17 	2.09 		
1996	9	-3.26	0.97	-4.91 	3.26 	-6.44 	2.22 	-6.23 	2.03 		
1996	10	-3.23	1.15	-4.94 	2.86 	-6.37 	2.57 	-6.20 	1.55 		
1996	11	-3.24	0.85	-4.97 	2.55 	-6.31 	3.10 	-6.19 	1.58 		
1996	12	-3.23	1	-5.01 	2.40 	-6.31 	2.27 	-6.19 	1.46 		
1997	1	-3.09	1.2	-4.69 	2.48 	-5.84 	1.69 	-5.71 	2.43 		
1997	2	-3.04	1.14	-4.52 	2.97 	-5.50 	2.00 	-5.42 	2.52 		
1997	3	-2.96	1.02	-4.38 	2.45 	-5.25 	1.83 	-5.20 	2.61 		
1997	4	-2.86	0.71	-4.16 	1.87 	-4.87 	1.20 	-4.90 	1.75 		
1997	5	-2.7	0.67	-3.87 	2.49 	-4.43 	1.99 	-4.47 	2.52 		
1997	6	-2.58	0.63	-3.62 	2.62 	-4.08 	2.22 	-4.01 	2.24 		
1997	7	-2.37	0.88	-3.30 	3.76 	-3.68 	2.13 	-3.56 	2.97 		
1997	8	-2.2	0.92	-3.05 	3.98 	-3.30 	2.96 	-3.11 	2.98 		
1997	9	-2.07	1.31	-2.77 	3.60 	-2.74 	3.95 	-2.61 	2.22 		
1997	10	-1.97	1.38	-2.50 	3.58 	-2.30 	3.29 	-2.15 	1.93 		
1997	11	-1.84	1.49	-2.25 	2.66 	-1.89 	3.22 	-1.69 	1.51 		
1997	12	-1.73	1.48	-2.05 	2.32 	-1.48 	2.42 	-1.34 	1.33 		
1998	1	-1.71	1.22	-2.12 	2.65 	-1.57 	2.16 	-1.46 	2.07 		
1998	2	-1.67	1.12	-2.12 	2.65 	-1.63 	2.25 	-1.54 	0.84 		
1998	3	-1.68	1.18	-2.16 	1.72 	-1.72 	1.13 	-1.60 	0.59 		
1998	4	-1.77	1.29	-2.20 	1.34 	-1.80 	1.99 	-1.66 	1.63 		
1998	5	-1.96	1.01	-2.46 	2.43 	-2.17 	2.58 	-2.04 	1.72 		
1998	6	-2.1	0.83	-2.70 	2.33 	-2.53 	2.79 	-2.51 	1.96 		
1998	7	-2.29	1.17	-2.96 	2.31 	-2.89 	1.98 	-2.97 	2.86 		
1998	8	-2.46	1.63	-3.17 	2.34 	-3.15 	1.85 	-3.32 	2.65 		
1998	9	-2.56	1.24	-3.31 	2.33 	-3.38 	2.23 	-3.56 	2.40 		
1998	10	-2.68	1.31	-3.53 	2.47 	-3.76 	2.73 	-3.93 	1.91 		
1998	11	-2.86	1.13	-3.82 	1.93 	-4.27 	2.20 	-4.43 	1.95 		
1998	12	-3.03	0.97	-4.08 	2.45 	-4.77 	1.42 	-4.89 	1.45 		
1999	1	-3.11	1.08	-4.12 	2.45 	-4.88 	1.44 	-4.98 	1.43 		
1999	2	-3.22	1.37	-4.24 	1.98 	-5.04 	1.29 	-5.09 	0.88 		
1999	3	-3.3	1.35	-4.28 	1.54 	-5.09 	1.20 	-5.14 	0.77 		
1999	4	-3.31	1.02	-4.31 	2.04 	-5.13 	1.29 	-5.19 	1.45 		
1999	5	-3.3	0.73	-4.34 	2.42 	-5.21 	1.88 	-5.23 	1.66 		
1999	6	-3.26	0.65	-4.28 	2.27 	-5.14 	2.68 	-5.14 	1.69 		
1999	7	-3.2	0.89	-4.22 	3.15 	-5.07 	1.75 	-5.05 	2.83 		
1999	8	-3.1	0.83	-4.15 	3.46 	-5.00 	2.16 	-5.00 	2.65 		
1999	9	-2.99	1.01	-3.99 	2.97 	-4.91 	1.85 	-4.92 	2.73 		
1999	10	-2.92	1.36	-3.84 	2.63 	-4.71 	2.56 	-4.73 	2.16 		
1999	11	-2.88	0.96	-3.79 	2.07 	-4.67 	2.18 	-4.66 	1.66 		
1999	12	-2.89	1.1	-3.79 	2.56 	-4.69 	1.93 	-4.65 	1.21 		
2000	1	-2.92	1.22	-3.86 	2.29 	-4.74 	0.87 	-4.66 	1.66 		
2000	2	-2.9	1.35	-3.81 	1.54 	-4.73 	1.07 	-4.63 	2.34 		
2000	3	-2.89	1.27	-3.94 	1.45 	-4.91 	0.90 	-4.81 	1.51 		
2000	4	-2.83	0.85	-3.90 	1.87 	-4.87 	1.52 	-4.76 	1.52 		
2000	5	-2.74	0.53	-3.81 	2.33 	-4.74 	1.79 	-4.64 	1.41 		
2000	6	-2.66	0.73	-3.72 	2.18 	-4.62 	2.05 	-4.52 	1.66 		
2000	7	-2.58	0.62	-3.57 	2.76 	-4.48 	2.06 	-4.33 	2.19 		
2000	8	-2.5	0.9	-3.39 	3.78 	-4.29 	2.27 	-4.10 	3.26 		
2000	9	-2.49	0.81	-3.38 	3.56 	-4.25 	2.74 	-4.02 	2.97 		
2000	10	-2.43	1	-3.38 	2.80 	-4.30 	2.38 	-4.03 	2.37 		
2000	11	-2.28	1.2	-3.21 	2.02 	-4.08 	2.36 	-3.81 	2.00 		
2000	12	-2.07	0.96	-2.99 	2.22 	-3.82 	1.44 	-3.51 	1.32 		
2001	1	-1.88	0.82	-2.86 	1.86 	-3.66 	0.75 	-3.36 	1.45 		
2001	2	-1.67	0.88	-2.65 	1.65 	-3.39 	1.14 	-3.08 	1.38 		
2001	3	-1.43	1.14	-2.33 	1.64 	-2.99 	0.96 	-2.68 	1.49 		
2001	4	-1.26	0.81	-2.13 	1.40 	-2.78 	1.25 	-2.46 	1.53 		
2001	5	-1.17	0.75	-2.08 	2.27 	-2.76 	1.41 	-2.47 	1.52 		
2001	6	-1.11	1.04	-1.96 	2.58 	-2.59 	1.87 	-2.29 	1.80 		
2001	7	-1.05	0.93	-1.95 	2.89 	-2.57 	2.05 	-2.27 	2.70 		
2001	8	-1.04	1.05	-1.99 	3.17 	-2.67 	1.91 	-2.36 	2.57 		
2001	9	-1.03	1.23	-2.00 	2.52 	-2.70 	2.33 	-2.43 	1.79 		
2001	10	-0.92	1.14	-1.83 	2.74 	-2.50 	2.68 	-2.26 	1.50 		
2001	11	-0.88	1.15	-1.75 	2.26 	-2.39 	2.19 	-2.19 	1.73 		
2001	12	-0.82	1.04	-1.61 	2.49 	-2.17 	1.20 	-2.02 	0.77 		
2002	1	-0.8	0.81	-1.56 	2.52 	-2.07 	1.16 	-1.96 	0.85 		
2002	2	-0.71	0.65	-1.34 	2.77 	-1.78 	1.34 	-1.71 	1.50 		
2002	3	-0.68	0.77	-1.14 	1.17 	-1.57 	1.03 	-1.49 	1.95 		
2002	4	-0.68	0.67	-1.01 	0.89 	-1.40 	1.66 	-1.32 	1.66 		
2002	5	-0.59	0.65	-0.79 	2.22 	-1.13 	1.98 	-1.02 	1.68 		
2002	6	-0.57	1.07	-0.82 	3.13 	-1.24 	2.20 	-1.16 	1.40 		
2002	7	-0.57	0.8	-0.78 	2.54 	-1.17 	2.03 	-1.11 	1.84 		
2002	8	-0.54	0.96	-0.68 	3.16 	-1.01 	2.32 	-0.95 	2.33 		
2002	9	-0.45	1.09	-0.54 	2.42 	-0.85 	2.41 	-0.73 	1.48 		
2002	10	-0.5	1.39	-0.61 	2.71 	-0.91 	2.25 	-0.79 	2.70 		
2002	11	-0.43	1.51	-0.56 	2.60 	-0.85 	1.69 	-0.73 	1.93 		
2002	12	-0.42	1.3	-0.58 	2.13 	-0.90 	1.19 	-0.75 	1.65 		
2003	1	-0.39	1.23	-0.53 	1.91 	-0.92 	1.22 	-0.74 	0.94 		
2003	2	-0.41	1.06	-0.68 	1.70 	-1.15 	0.94 	-0.95 	1.63 		
2003	3	-0.39	0.94	-0.76 	1.31 	-1.29 	1.13 	-1.10 	1.77 		
2003	4	-0.34	0.7	-0.84 	0.81 	-1.39 	1.48 	-1.24 	1.78 		
2003	5	-0.29	0.67	-0.88 	1.25 	-1.43 	1.68 	-1.27 	1.35 		
2003	6	-0.2	0.81	-0.79 	1.96 	-1.28 	1.90 	-1.10 	1.35 		
2003	7	-0.07	1.07	-0.59 	2.01 	-1.10 	1.90 	-0.89 	1.92 		
2003	8	0.03	1.05	-0.50 	2.81 	-0.97 	2.05 	-0.76 	2.07 		
2003	9	0.14	0.92	-0.43 	2.87 	-0.90 	2.36 	-0.76 	1.73 		
2003	10	0.28	1.26	-0.28 	2.61 	-0.79 	2.85 	-0.62 	1.80 		
2003	11	0.37	1.29	-0.16 	1.95 	-0.70 	2.94 	-0.53 	1.02 		
2003	12	0.42	1.2	-0.13 	1.51 	-0.71 	1.79 	-0.60 	1.34 		
2004	1	0.52	0.89	0.08 	2.16 	-0.45 	0.73 	-0.36 	1.22 		
2004	2	0.47	0.79	-0.01 	1.84 	-0.58 	1.66 	-0.50 	1.19 		
2004	3	0.46	0.77	0.02 	1.36 	-0.45 	1.34 	-0.39 	1.78 		
2004	4	0.42	0.87	-0.03 	0.85 	-0.50 	1.60 	-0.45 	1.80 		
2004	5	0.37	0.76	0.00 	1.32 	-0.45 	1.57 	-0.43 	1.05 		
2004	6	0.31	0.8	-0.05 	2.04 	-0.45 	2.06 	-0.44 	0.98 		
2004	7	0.31	1.05	-0.02 	2.48 	-0.36 	1.73 	-0.41 	2.21 		
2004	8	0.37	0.99	0.08 	3.14 	-0.25 	2.42 	-0.32 	2.26 		
2004	9	0.42	1.39	0.18 	3.25 	-0.06 	2.45 	-0.12 	2.15 		
